,Movie Name,Year of Release,Watch Time,Movie Rating,Metascore of movie,Votes,Gross
81,Das Boot,(1981),149 min,8.4,86        ,"259,061",$11.49M
82,Sunset Blvd.,(1950),110 min,8.4,94        ,"230,674",#61
83,The Great Dictator,(1940),125 min,8.4,****,"232,227",$0.29M
84,Paths of Glory,(1957),88 min,8.4,90        ,"206,389",#62
85,Witness for the Prosecution,(1957),116 min,8.4,76        ,"132,650",$8.18M
86,Tengoku to jigoku,(1963),143 min,8.4,90        ,"49,855",#86
87,Kaithi,(2019),145 min,8.4,****,"37,871",%^%^%^
88,Sardar Udham,(2021),164 min,8.4,****,"45,281",%^%^%^
89,Drishyam 2,(2021),152 min,8.4,****,"39,732",%^%^%^
90,Asuran,(2019),141 min,8.4,****,"32,081",%^%^%^
91,Inglourious Basterds,(2009),153 min,8.3,69        ,"1,527,300",$120.54M
92,Top Gun: Maverick,(2022),130 min,8.3,78        ,"632,061",$718.73M
93,Judgment at Nuremberg,(1961),179 min,8.3,60        ,"81,972",#136
94,Heat,(1995),170 min,8.3,76        ,"694,017",$67.44M
95,American Beauty,(1999),122 min,8.3,84        ,"1,186,993",$130.10M
96,Requiem for a Dream,(2000),102 min,8.3,71        ,"875,921",$3.64M
97,Good Will Hunting,(1997),126 min,8.3,70        ,"1,024,219",$138.43M
98,2001: A Space Odyssey,(1968),149 min,8.3,84        ,"699,177",$56.95M
99,A Clockwork Orange,(1971),136 min,8.3,77        ,"860,715",$6.21M
100,Scarface,(1983),170 min,8.3,65        ,"885,900",$45.60M
101,Eternal Sunshine of the Spotless Mind,(2004),108 min,8.3,89        ,"1,047,549",$34.40M
102,Braveheart,(1995),178 min,8.3,68        ,"1,069,313",$75.60M
103,Jagten,(2012),115 min,8.3,77        ,"350,334",$0.69M
104,Reservoir Dogs,(1992),99 min,8.3,81        ,"1,060,489",$2.83M
105,Full Metal Jacket,(1987),116 min,8.3,78        ,"770,954",$46.36M
106,Hamilton,(2020),160 min,8.3,89        ,"106,304",#111
107,Once Upon a Time in America,(1984),229 min,8.3,75        ,"367,181",$5.32M
108,Up,(2009),96 min,8.3,88        ,"1,091,649",$293.00M
109,Toy Story,(1995),81 min,8.3,96        ,"1,038,542",$191.80M
110,Star Wars: Episode VI - Return of the Jedi,(1983),131 min,8.3,58        ,"1,094,520",$309.13M
111,Incendies,(2010),131 min,8.3,80        ,"189,500",$6.86M
112,Le fabuleux destin d'Amélie Poulain,(2001),122 min,8.3,69        ,"778,808",$33.23M
113,Mononoke-hime,(1997),134 min,8.3,76        ,"416,332",$2.38M
114,Vikram,(2022),175 min,8.3,****,"66,971",%^%^%^
