,Movie Name,Year of Release,Watch Time,Movie Rating,Metascore of movie,Votes,Gross
363,Casino Royale,(2006),144 min,8.0,80        ,"679,528",$167.45M
364,The Night of the Hunter,(1955),92 min,8.0,97        ,"94,373",$0.65M
365,The Incredibles,(2004),115 min,8.0,90        ,"780,046",$261.44M
366,Blood Diamond,(2006),143 min,8.0,64        ,"572,303",$57.37M
367,Soul,(2020),100 min,8.0,83        ,"357,914",%^%^%^
368,Young Frankenstein,(1974),106 min,8.0,83        ,"165,043",$86.30M
369,Magnolia,(1999),188 min,8.0,78        ,"322,875",$22.46M
370,Rain Man,(1988),133 min,8.0,65        ,"534,142",$178.80M
371,Scent of a Woman,(1992),156 min,8.0,59        ,"317,786",$63.90M
372,Lion,(2016),118 min,8.0,69        ,"245,570",$51.74M
373,Dances with Wolves,(1990),181 min,8.0,72        ,"281,881",$184.21M
374,Twelve Monkeys,(1995),129 min,8.0,74        ,"635,640",$57.14M
375,Aladdin,(1992),90 min,8.0,86        ,"449,123",$217.35M
376,The Graduate,(1967),106 min,8.0,83        ,"283,564",$104.95M
377,Groundhog Day,(1993),101 min,8.0,72        ,"663,013",$70.91M
378,JFK,(1991),189 min,8.0,72        ,"165,400",$70.41M
379,Beauty and the Beast,(1991),84 min,8.0,95        ,"470,526",$218.97M
380,Big Fish,(2003),125 min,8.0,58        ,"451,962",$66.26M
381,Kill Bill: Vol. 2,(2004),137 min,8.0,83        ,"785,555",$66.21M
382,Pâfekuto burû,(1997),81 min,8.0,67        ,"88,116",$0.78M
383,The Pursuit of Happyness,(2006),117 min,8.0,64        ,"542,958",$163.57M
384,Planet of the Apes,(1968),112 min,8.0,79        ,"187,849",$33.40M
385,Chung Hing sam lam,(1994),102 min,8.0,78        ,"90,910",$0.60M
386,Dogville,(2003),178 min,8.0,61        ,"155,174",$1.53M
387,The Bourne Ultimatum,(2007),115 min,8.0,85        ,"649,635",$227.47M
388,Contratiempo,(2016),106 min,8.0,****,"186,700",%^%^%^
389,Slumdog Millionaire,(2008),120 min,8.0,84        ,"865,596",$141.32M
390,Akira,(1988),124 min,8.0,67        ,"197,846",$0.55M
391,The King's Speech,(2010),118 min,8.0,88        ,"697,775",$138.80M
392,Sling Blade,(1996),135 min,8.0,84        ,"97,074",$24.48M
393,Dog Day Afternoon,(1975),125 min,8.0,86        ,"267,881",$50.00M
394,What Ever Happened to Baby Jane?,(1962),134 min,8.0,75        ,"59,880",$4.05M
395,Do the Right Thing,(1989),120 min,8.0,93        ,"108,955",$27.55M
396,Butch Cassidy and the Sundance Kid,(1969),110 min,8.0,66        ,"223,081",$102.31M
397,The Hustler,(1961),134 min,8.0,90        ,"85,187",$8.28M
398,Annie Hall,(1977),93 min,8.0,92        ,"272,992",$39.20M
399,Life of Brian,(1979),94 min,8.0,77        ,"414,803",$20.05M
400,Rio Bravo,(1959),141 min,8.0,93        ,"66,376",$12.54M
401,Papillon,(1973),151 min,8.0,58        ,"135,818",$53.27M
402,Ip Man,(2008),106 min,8.0,59        ,"230,586",%^%^%^
403,Solaris,(1972),167 min,8.0,93        ,"95,849",%^%^%^
404,Kaze no tani no Naushika,(1984),117 min,8.0,86        ,"176,879",$0.50M
405,Tenkuu no Shiro Laputa,(1986),125 min,8.0,78        ,"175,316",%^%^%^
406,Mommy,(I) (2014),139 min,8.0,74        ,"60,245",$3.49M
407,8½,(1963),138 min,8.0,93        ,"122,702",$0.05M
408,Roman Holiday,(1953),118 min,8.0,78        ,"144,404",%^%^%^
409,The Straight Story,(1999),112 min,8.0,86        ,"94,795",$6.20M
410,Fiddler on the Roof,(1971),181 min,8.0,67        ,"46,175",$80.50M
411,WolfWalkers,(2020),103 min,8.0,87        ,"36,590",%^%^%^
412,Gandhi,(1982),191 min,8.0,79        ,"237,608",$52.77M
413,Pink Floyd: The Wall,(1982),95 min,8.0,47        ,"83,862",$22.24M
414,Cinderella Man,(2005),144 min,8.0,69        ,"194,270",$61.65M
415,La dolce vita,(1960),174 min,8.0,95        ,"76,479",$19.52M
416,The Maltese Falcon,(1941),100 min,8.0,97        ,"163,884",$2.11M
417,High Noon,(1952),85 min,8.0,89        ,"108,209",$9.45M
418,Das Cabinet des Dr. Caligari,(1920),76 min,8.0,****,"67,780",%^%^%^
419,Zerkalo,(1975),107 min,8.0,82        ,"50,310",$0.18M
420,Mou gaan dou,(2002),101 min,8.0,75        ,"128,974",$0.17M
421,Touch of Evil,(1958),95 min,8.0,99        ,"107,905",$2.24M
422,Sweet Smell of Success,(1957),96 min,8.0,100        ,"34,582",%^%^%^
423,Secrets & Lies,(1996),136 min,8.0,92        ,"45,939",$13.42M
424,La leggenda del pianista sull'oceano,(1998),169 min,8.0,58        ,"67,647",$0.26M
425,Anatomy of a Murder,(1959),161 min,8.0,95        ,"69,409",$11.90M
426,Fitzcarraldo,(1982),158 min,8.0,****,"37,267",%^%^%^
427,Il gattopardo,(1963),186 min,8.0,100        ,"27,942",%^%^%^
428,Who's Afraid of Virginia Woolf?,(1966),131 min,8.0,75        ,"78,426",%^%^%^
429,Tropa de Elite,(2007),115 min,8.0,33        ,"107,937",$0.01M
430,Bãhubali: The Beginning,(2015),159 min,8.0,****,"132,265",$6.74M
431,Kaguya-hime no monogatari,(2013),137 min,8.0,89        ,"51,182",$1.51M
432,Le scaphandre et le papillon,(2007),112 min,8.0,92        ,"109,488",$5.99M
433,Song of the Sea,(2014),93 min,8.0,85        ,"61,627",$0.86M
434,Dare mo shiranai,(2004),141 min,8.0,88        ,"30,082",$0.68M
435,Yeopgijeogin geunyeo,(2001),137 min,8.0,****,"49,744",%^%^%^
436,Kind Hearts and Coronets,(1949),106 min,8.0,****,"38,898",%^%^%^
437,Le Samouraï,(1967),105 min,8.0,****,"54,788",$0.04M
438,Out of the Past,(1947),97 min,8.0,85        ,"39,678",%^%^%^
439,Brief Encounter,(1945),86 min,8.0,92        ,"42,772",%^%^%^
440,Mar adentro,(I) (2004),126 min,8.0,74        ,"84,083",$2.09M
441,Sleuth,(1972),138 min,8.0,****,"49,313",$4.08M
442,Persepolis,(2007),96 min,8.0,90        ,"98,191",$4.45M
443,Dilwale Dulhania Le Jayenge,(1995),189 min,8.0,****,"74,546",%^%^%^
444,Stalag 17,(1953),120 min,8.0,84        ,"57,592",%^%^%^
445,Viskningar och rop,(1972),91 min,8.0,****,"36,048",$1.74M
446,La strada,(1954),108 min,8.0,****,"65,501",%^%^%^
447,The Shop Around the Corner,(1940),99 min,8.0,96        ,"36,097",$0.20M
448,Haider,(2014),160 min,8.0,****,"56,604",$0.90M
449,"Quo vadis, Aida?",(2020),101 min,8.0,97        ,"36,797",%^%^%^
450,Bom yeoreum gaeul gyeoul geurigo bom,(2003),103 min,8.0,85        ,"85,503",$2.38M
451,Ahlat Agaci,(2018),188 min,8.0,86        ,"26,350",$0.03M
452,Au revoir les enfants,(1987),104 min,8.0,88        ,"35,444",$4.54M
453,El ángel exterminador,(1962),95 min,8.0,****,"34,708",%^%^%^
454,"Crna macka, beli macor",(1998),127 min,8.0,73        ,"55,544",$0.35M
455,Ivanovo detstvo,(1962),95 min,8.0,****,"38,761",%^%^%^
456,Okuribito,(2008),130 min,8.0,68        ,"54,038",$1.50M
457,Tropa de Elite 2: O Inimigo Agora é Outro,(2010),115 min,8.0,71        ,"85,446",$0.10M
458,Sanjuro,(1962),96 min,8.0,****,"40,104",%^%^%^
459,Central do Brasil,(1998),110 min,8.0,80        ,"41,379",$5.60M
460,Roma città aperta,(1945),103 min,8.0,****,"28,143",%^%^%^
461,Taegukgi hwinalrimyeo,(2004),140 min,8.0,64        ,"40,644",$1.11M
462,G.O.R.A.,(2004),127 min,8.0,****,"65,353",%^%^%^
463,Nattvardsgästerna,(1963),81 min,8.0,****,"26,374",%^%^%^
464,M.S. Dhoni: The Untold Story,(2016),184 min,8.0,****,"64,996",$1.78M
465,Special Chabbis,(2013),144 min,8.0,****,"58,062",$1.08M
466,Andaz Apna Apna,(1994),160 min,8.0,****,"54,602",%^%^%^
467,Nefes: Vatan Sagolsun,(2009),128 min,8.0,****,"34,661",%^%^%^
468,Lage Raho Munna Bhai,(2006),144 min,8.0,****,"48,672",$2.22M
469,Vizontele,(2001),110 min,8.0,****,"38,033",%^%^%^
470,Guardians of the Galaxy Vol. 3,(2023),150 min,7.9,64        ,"323,838",%^%^%^
471,Mission: Impossible - Dead Reckoning Part One,(2023),163 min,7.9,81        ,"140,166",%^%^%^
472,Titanic,(1997),194 min,7.9,75        ,"1,247,914",$659.33M
473,Knives Out,(2019),130 min,7.9,82        ,"741,798",$165.36M
474,Arrival,(II) (2016),116 min,7.9,81        ,"738,363",$100.55M
475,The Nightmare Before Christmas,(1993),76 min,7.9,82        ,"357,490",$75.08M
476,Almost Famous,(2000),122 min,7.9,90        ,"287,306",$32.53M
477,Boogie Nights,(1997),155 min,7.9,86        ,"276,175",$26.40M
478,Bohemian Rhapsody,(2018),134 min,7.9,49        ,"569,178",$216.43M
479,Edge of Tomorrow,(2014),113 min,7.9,71        ,"714,140",$100.21M
480,True Romance,(1993),119 min,7.9,59        ,"236,813",$12.28M
481,Harry Potter and the Prisoner of Azkaban,(2004),142 min,7.9,82        ,"667,852",$249.36M
482,Zack Snyder's Justice League,(2021),242 min,7.9,54        ,"424,587",%^%^%^
483,Mulholland Dr.,(2001),147 min,7.9,86        ,"373,222",$7.22M
484,Avatar,(2009),162 min,7.9,83        ,"1,361,554",$760.51M
485,Children of Men,(2006),109 min,7.9,84        ,"518,121",$35.55M
486,Star Trek,(2009),127 min,7.9,82        ,"614,416",$257.73M
487,Iron Man,(2008),126 min,7.9,79        ,"1,098,831",$318.41M
488,The Perks of Being a Wallflower,(2012),103 min,7.9,67        ,"535,186",$17.74M
489,E.T. the Extra-Terrestrial,(1982),115 min,7.9,92        ,"426,764",$435.11M
490,Jojo Rabbit,(2019),108 min,7.9,58        ,"422,150",$33.37M
491,Fantastic Mr. Fox,(2009),87 min,7.9,83        ,"256,886",$21.00M
492,Thor: Ragnarok,(2017),130 min,7.9,74        ,"792,995",$315.06M
493,Shaun of the Dead,(2004),99 min,7.9,76        ,"579,576",$13.54M
494,Shrek,(2001),90 min,7.9,84        ,"711,744",$267.67M
495,Mystic River,(2003),138 min,7.9,84        ,"473,665",$90.14M
496,Edward Scissorhands,(1990),105 min,7.9,74        ,"510,057",$56.36M
497,In Bruges,(2008),107 min,7.9,67        ,"451,060",$7.76M
498,The Blues Brothers,(1980),133 min,7.9,60        ,"208,710",$57.23M
499,Wonder,(I) (2017),113 min,7.9,66        ,"173,356",$132.42M
500,District 9,(2009),112 min,7.9,81        ,"703,156",$115.65M
501,Marriage Story,(2019),137 min,7.9,94        ,"332,848",$2.00M
502,Dallas Buyers Club,(2013),117 min,7.9,77        ,"507,763",$27.30M
503,In the Heat of the Night,(1967),110 min,7.9,76        ,"81,145",$24.38M
504,This Is Spinal Tap,(1984),82 min,7.9,92        ,"144,276",$4.74M
505,X-Men: Days of Future Past,(2014),132 min,7.9,75        ,"732,666",$233.92M
506,Carlito's Way,(1993),144 min,7.9,66        ,"227,533",$36.95M
507,Life of Pi,(2012),127 min,7.9,79        ,"653,288",$124.99M
508,Brazil,(1985),132 min,7.9,84        ,"207,445",$9.93M
509,Spartacus,(1960),197 min,7.9,87        ,"140,225",$30.00M
510,Nosferatu,(1922),94 min,7.9,****,"102,319",%^%^%^
511,The Wrestler,(2008),109 min,7.9,80        ,"315,505",$26.24M
512,Låt den rätte komma in,(2008),114 min,7.9,82        ,"223,118",$2.12M
513,Kôkaku kidôtai,(1995),83 min,7.9,76        ,"151,493",$0.52M
514,Boyhood,(I) (2014),165 min,7.9,100        ,"362,891",$25.38M
515,Toy Story 2,(1999),92 min,7.9,88        ,"605,119",$245.85M
516,The Ten Commandments,(1956),220 min,7.9,****,"75,138",$93.74M
517,Per un pugno di dollari,(1964),99 min,7.9,65        ,"226,801",$14.50M
518,Wo hu cang long,(2000),120 min,7.9,94        ,"277,739",$128.08M
519,Doctor Zhivago,(1965),197 min,7.9,69        ,"80,344",$111.72M
520,Before Midnight,(2013),109 min,7.9,94        ,"167,674",$8.11M
521,Once Were Warriors,(1994),102 min,7.9,77        ,"36,043",$2.20M
522,Bound by Honor,(1993),180 min,7.9,47        ,"33,159",$4.50M
523,Notorious,(1946),102 min,7.9,100        ,"104,983",$10.46M
524,Der Himmel über Berlin,(1987),128 min,7.9,79        ,"74,528",$3.33M
525,Sing Street,(2016),106 min,7.9,79        ,"98,536",$3.24M
526,A Streetcar Named Desire,(1951),122 min,7.9,97        ,"112,349",$8.00M
527,Ascenseur pour l'échafaud,(1958),91 min,7.9,94        ,"27,718",$0.11M
528,Serbuan maut 2: Berandal,(2014),150 min,7.9,71        ,"128,879",$2.63M
529,The Wild Bunch,(1969),145 min,7.9,98        ,"88,587",$12.06M
530,Charade,(1963),113 min,7.9,83        ,"82,682",$13.47M
531,Dancer in the Dark,(2000),140 min,7.9,63        ,"114,346",$4.18M
532,All the President's Men,(1976),138 min,7.9,84        ,"122,531",$70.60M
533,Harold and Maude,(1971),91 min,7.9,62        ,"80,403",%^%^%^
534,Being There,(1979),130 min,7.9,83        ,"75,871",$30.18M
535,Togo,(2019),113 min,7.9,69        ,"53,196",%^%^%^
536,Ying xiong,(2002),120 min,7.9,85        ,"185,607",$53.71M
537,The Killing,(1956),84 min,7.9,91        ,"94,749",%^%^%^
538,King Kong,(1933),100 min,7.9,92        ,"88,968",$10.00M
539,The Big Sleep,(1946),114 min,7.9,86        ,"88,846",$6.54M
540,My Name Is Khan,(2010),165 min,7.9,50        ,"112,690",$4.02M
541,A Christmas Story,(1983),93 min,7.9,77        ,"161,794",$20.61M
542,Manbiki kazoku,(2018),121 min,7.9,93        ,"82,652",$3.31M
543,Short Term 12,(2013),96 min,7.9,82        ,"90,425",$1.01M
544,The Manchurian Candidate,(1962),126 min,7.9,94        ,"78,183",%^%^%^
545,Strangers on a Train,(1951),101 min,7.9,88        ,"138,471",$7.63M
546,Patton,(1970),172 min,7.9,86        ,"106,137",$61.70M
547,The Artist,(I) (2011),100 min,7.9,89        ,"246,212",$44.67M
548,Rope,(1948),80 min,7.9,73        ,"149,877",%^%^%^
549,Trois couleurs: Bleu,(1993),94 min,7.9,87        ,"107,767",$1.32M
550,In a Lonely Place,(1950),94 min,7.9,****,"33,924",%^%^%^
551,Hable con ella,(2002),112 min,7.9,86        ,"115,919",$9.36M
552,The Lion in Winter,(1968),134 min,7.9,****,"33,180",$22.28M
553,Gegen die Wand,(2004),121 min,7.9,78        ,"56,492",%^%^%^
554,Mildred Pierce,(1945),111 min,7.9,88        ,"27,802",%^%^%^
555,In Cold Blood,(1967),134 min,7.9,89        ,"28,142",%^%^%^
556,Sacrifice,(1986),149 min,7.9,****,"30,153",$0.30M
557,The Philadelphia Story,(1940),112 min,7.9,96        ,"72,305",%^%^%^
558,Amour,(2012),127 min,7.9,95        ,"103,948",$6.74M
559,Taeksi woonjunsa,(2017),137 min,7.9,69        ,"28,754",$1.53M
560,Cat on a Hot Tin Roof,(1958),108 min,7.9,84        ,"52,253",$17.57M
561,Arsenic and Old Lace,(1944),118 min,7.9,****,"73,483",%^%^%^
562,The Adventures of Robin Hood,(1938),102 min,7.9,97        ,"53,423",$3.98M
563,Il conformista,(1970),113 min,7.9,100        ,"32,703",$0.54M
564,Harvey,(1950),104 min,7.9,****,"57,305",%^%^%^
565,Kal Ho Naa Ho,(2003),186 min,7.9,54        ,"73,072",$1.79M
566,Nostalgia,(1983),125 min,7.9,****,"29,094",$0.01M
567,Darbareye Elly,(2009),119 min,7.9,87        ,"55,968",$0.11M
568,Laura,(1944),88 min,7.9,****,"49,755",$4.36M
569,Jab We Met,(2007),138 min,7.9,****,"56,643",$0.41M
570,Amarcord,(1973),123 min,7.9,****,"45,730",$0.58M
571,Cléo de 5 à 7,(1962),90 min,7.9,87        ,"25,600",%^%^%^
572,Kagemusha,(1980),180 min,7.9,84        ,"37,307",%^%^%^
573,Miracle on 34th Street,(1947),96 min,7.9,88        ,"51,572",$2.65M
574,The Thin Man,(1934),91 min,7.9,86        ,"31,724",%^%^%^
575,Hoje Eu Quero Voltar Sozinho,(2014),96 min,7.9,71        ,"27,039",$0.10M
576,"4 luni, 3 saptamâni si 2 zile",(2007),113 min,7.9,97        ,"62,432",$1.19M
577,Hiroshima mon amour,(1959),90 min,7.9,****,"34,745",$0.09M
578,Vozvrashchenie,(2003),110 min,7.9,82        ,"46,726",$0.50M
579,Bronenosets Potemkin,(1925),75 min,7.9,97        ,"60,214",$0.05M
580,Gully Boy,(2019),154 min,7.9,65        ,"42,195",$5.57M
581,Bin-jip,(2004),88 min,7.9,72        ,"57,180",$0.24M
582,No Man's Land,(I) (2001),98 min,7.9,84        ,"48,242",$1.06M
583,The Lost Weekend,(1945),101 min,7.9,****,"39,199",$9.46M
584,Nueve reinas,(2000),114 min,7.9,80        ,"55,560",$1.22M
585,The Big Heat,(1953),89 min,7.9,****,"28,175",%^%^%^
586,Le cercle rouge,(1970),140 min,7.9,92        ,"27,183",$0.37M
587,La règle du jeu,(1939),110 min,7.9,99        ,"30,567",%^%^%^
588,Sullivan's Travels,(1941),90 min,7.9,****,"27,904",%^%^%^
589,La Belle et la Bête,(1946),96 min,7.9,92        ,"27,517",$0.30M
590,C.R.A.Z.Y.,(2005),129 min,7.9,81        ,"33,777",%^%^%^
591,Såsom i en spegel,(1961),90 min,7.9,84        ,"26,738",%^%^%^
592,Super 30,(2019),154 min,7.9,****,"35,069",$2.27M
593,Baby,(I) (2015),159 min,7.9,****,"59,266",%^%^%^
594,Dev.D,(2009),144 min,7.9,****,"31,724",$0.01M
595,Badhaai ho,(2018),124 min,7.9,****,"36,616",%^%^%^
596,Padman,(2018),140 min,7.9,****,"27,754",$1.66M
597,Airlift,(2016),130 min,7.9,****,"58,203",%^%^%^
598,John Wick: Chapter 4,(2023),169 min,7.8,78        ,"279,499",%^%^%^
599,The Batman,(2022),176 min,7.8,72        ,"733,873",$369.35M
600,Everything Everywhere All at Once,(2022),139 min,7.8,81        ,"480,598",$72.86M
601,The Big Short,(2015),130 min,7.8,81        ,"463,915",$70.26M
602,Pride & Prejudice,(2005),129 min,7.8,82        ,"317,434",$38.41M
603,Get Out,(I) (2017),104 min,7.8,85        ,"658,127",$176.04M
604,Tombstone,(1993),130 min,7.8,50        ,"159,878",$56.51M
605,The Gentlemen,(2019),113 min,7.8,51        ,"371,442",$36.47M
606,A Bronx Tale,(1993),121 min,7.8,80        ,"153,757",$17.27M
607,The Notebook,(2004),123 min,7.8,53        ,"599,345",$81.00M
608,Drive,(I) (2011),100 min,7.8,78        ,"682,482",$35.06M
609,Rogue One,(2016),133 min,7.8,65        ,"668,307",$532.18M
610,Ferris Bueller's Day Off,(1986),103 min,7.8,61        ,"376,616",$70.14M
611,Puss in Boots: The Last Wish,(2022),102 min,7.8,73        ,"155,685",$168.46M
612,The Breakfast Club,(1985),97 min,7.8,66        ,"423,804",$45.88M
613,Little Women,(2019),135 min,7.8,91        ,"229,141",$108.10M
614,Dunkirk,(2017),106 min,7.8,94        ,"713,001",$188.37M
615,Ghostbusters,(1984),105 min,7.8,71        ,"432,334",$238.63M
616,Predator,(1987),107 min,7.8,47        ,"441,596",$59.74M
617,The Irishman,(2019),209 min,7.8,94        ,"413,755",$7.00M
618,Apocalypto,(2006),139 min,7.8,68        ,"323,990",$50.87M
619,Im Westen nichts Neues,(2022),148 min,7.8,76        ,"222,928",%^%^%^
620,About Time,(I) (2013),123 min,7.8,55        ,"372,256",$15.32M
621,Call Me by Your Name,(2017),132 min,7.8,94        ,"297,929",$18.10M
622,RRR (Rise Roar Revolt),(2022),187 min,7.8,83        ,"157,224",$14.50M
623,The Hateful Eight,(2015),168 min,7.8,68        ,"637,402",$54.12M
624,The Hobbit: An Unexpected Journey,(2012),169 min,7.8,58        ,"853,690",$303.00M
625,The Girl with the Dragon Tattoo,(2011),158 min,7.8,71        ,"481,644",$102.52M
626,Star Wars: Episode VII - The Force Awakens,(2015),138 min,7.8,80        ,"957,294",$936.66M
627,Hidden Figures,(2016),127 min,7.8,74        ,"246,198",$169.61M
628,Willy Wonka & the Chocolate Factory,(1971),100 min,7.8,67        ,"213,990",$4.00M
629,Verdens verste menneske,(2021),128 min,7.8,90        ,"86,501",%^%^%^
630,Remember the Titans,(2000),113 min,7.8,48        ,"226,185",$115.65M
631,The Social Network,(2010),120 min,7.8,95        ,"736,687",$96.96M
632,Hot Fuzz,(2007),121 min,7.8,81        ,"524,464",$23.64M
633,Misery,(1990),107 min,7.8,75        ,"225,957",$61.28M
634,Atonement,(2007),123 min,7.8,85        ,"292,310",$50.93M
635,Nightcrawler,(2014),117 min,7.8,76        ,"583,626",$32.38M
636,American Gangster,(2007),157 min,7.8,76        ,"442,535",$130.16M
637,Taken,(I) (2008),90 min,7.8,51        ,"621,373",$145.00M
638,The Fall,(I) (2006),117 min,7.8,64        ,"115,181",$2.28M
639,The Bourne Identity,(2002),119 min,7.8,68        ,"565,286",$121.66M
640,Manchester by the Sea,(2016),137 min,7.8,96        ,"300,516",$47.70M
641,Little Miss Sunshine,(2006),101 min,7.8,80        ,"504,475",$59.89M
642,The Curious Case of Benjamin Button,(2008),166 min,7.8,70        ,"678,450",$127.51M
643,The Hobbit: The Desolation of Smaug,(2013),161 min,7.8,66        ,"687,948",$258.37M
644,The Sandlot,(1993),101 min,7.8,55        ,"99,074",$32.42M
645,Mary Poppins,(1964),139 min,7.8,88        ,"180,914",$102.27M
646,Boyz n the Hood,(1991),112 min,7.8,76        ,"149,361",$57.50M
647,The Fugitive,(1993),130 min,7.8,87        ,"309,537",$183.88M
648,The Last Samurai,(2003),154 min,7.8,55        ,"458,995",$111.11M
649,Skyfall,(2012),143 min,7.8,81        ,"717,509",$304.36M
650,Ang-ma-reul bo-at-da,(2010),144 min,7.8,67        ,"140,604",$0.13M
651,Cast Away,(2000),143 min,7.8,73        ,"620,820",$233.63M
652,The Untouchables,(1987),119 min,7.8,79        ,"323,406",$76.27M
653,Captain Phillips,(2013),134 min,7.8,82        ,"481,387",$107.10M
654,Close,(I) (2022),104 min,7.8,81        ,"28,350",%^%^%^
655,Guess Who's Coming to Dinner,(1967),108 min,7.8,63        ,"47,747",$56.70M
656,Captain America: Civil War,(2016),147 min,7.8,75        ,"827,291",$408.08M
657,Isle of Dogs,(2018),101 min,7.8,82        ,"183,699",$32.02M
658,Moonrise Kingdom,(2012),94 min,7.8,84        ,"361,734",$45.51M
659,Captain America: The Winter Soldier,(2014),136 min,7.8,70        ,"880,096",$259.77M
660,Back to the Future Part II,(1989),108 min,7.8,57        ,"557,940",$118.50M
661,Captain Fantastic,(2016),118 min,7.8,72        ,"229,027",$5.88M
662,La montaña sagrada,(1973),114 min,7.8,76        ,"46,378",$0.06M
663,Moon,(2009),97 min,7.8,67        ,"370,279",$5.01M
664,Walk the Line,(2005),136 min,7.8,72        ,"260,557",$119.52M
665,Awakenings,(1990),121 min,7.8,74        ,"153,016",$52.10M
666,Big Hero 6,(2014),102 min,7.8,74        ,"486,428",$222.53M
667,The Searchers,(1956),119 min,7.8,94        ,"94,030",%^%^%^
668,Midnight Cowboy,(1969),113 min,7.8,79        ,"116,931",$44.79M
669,Straight Outta Compton,(2015),147 min,7.8,72        ,"212,743",$161.20M
670,Serenity,(2005),119 min,7.8,74        ,"302,304",$25.51M
671,The Remains of the Day,(1993),134 min,7.8,86        ,"80,650",$22.95M
672,Changeling,(2008),141 min,7.8,63        ,"262,014",$35.74M
673,The Man from Earth,(2007),87 min,7.8,****,"195,170",%^%^%^
674,The King of Comedy,(1982),109 min,7.8,73        ,"112,991",$2.50M
675,The Fighter,(I) (2010),116 min,7.8,79        ,"381,789",$93.62M
676,Night of the Living Dead,(1968),96 min,7.8,89        ,"135,007",$0.09M
677,October Sky,(1999),108 min,7.8,71        ,"95,836",$32.48M
678,Mississippi Burning,(1988),128 min,7.8,65        ,"106,321",$34.60M
679,Gekijouban Jujutsu Kaisen 0,(2021),105 min,7.8,71        ,"28,842",$34.54M
680,Hunt for the Wilderpeople,(2016),101 min,7.8,81        ,"137,440",$5.20M
681,Män som hatar kvinnor,(2009),152 min,7.8,76        ,"220,869",$10.10M
682,Majo no takkyûbin,(1989),103 min,7.8,85        ,"156,305",%^%^%^
683,La migliore offerta,(2013),131 min,7.8,49        ,"125,271",$0.09M
684,Glory,(1989),122 min,7.8,78        ,"141,058",$26.83M
685,The Day of the Jackal,(1973),143 min,7.8,80        ,"43,514",$16.06M
686,Dawn of the Dead,(1978),127 min,7.8,71        ,"125,580",$5.10M
687,The Insider,(1999),157 min,7.8,84        ,"176,961",$28.97M
688,Ed Wood,(1994),127 min,7.8,70        ,"181,330",$5.89M
689,Thirteen Lives,(2022),147 min,7.8,66        ,"63,825",%^%^%^
690,Frankenstein,(1931),70 min,7.8,91        ,"76,891",%^%^%^
691,Paddington 2,(2017),103 min,7.8,88        ,"87,599",$40.44M
692,The Conversation,(1974),113 min,7.8,87        ,"117,669",$4.42M
693,How to Train Your Dragon 2,(2014),102 min,7.8,77        ,"353,838",$177.00M
694,My Fair Lady,(1964),170 min,7.8,95        ,"99,397",$72.00M
695,Freaks,(1932),64 min,7.8,80        ,"48,932",$0.63M
696,Kramer vs. Kramer,(1979),105 min,7.8,77        ,"151,363",$106.26M
697,Gaslight,(1944),114 min,7.8,78        ,"32,288",%^%^%^
698,The Right Stuff,(1983),193 min,7.8,91        ,"64,080",$21.50M
699,Lilja 4-ever,(2002),109 min,7.8,83        ,"47,958",$0.18M
700,The Outlaw Josey Wales,(1976),135 min,7.8,69        ,"77,848",$31.80M
701,The World's Fastest Indian,(2005),127 min,7.8,68        ,"57,148",$5.13M
702,Cabaret,(1972),124 min,7.8,80        ,"57,889",$42.77M
703,All That Jazz,(1979),123 min,7.8,72        ,"34,065",$37.82M
704,Stagecoach,(1939),96 min,7.8,93        ,"52,189",%^%^%^
705,Batman: Mask of the Phantasm,(1993),76 min,7.8,65        ,"54,857",$5.62M
706,Days of Heaven,(1978),94 min,7.8,93        ,"61,047",%^%^%^
707,Chugyeokja,(2008),125 min,7.8,64        ,"70,523",%^%^%^
708,The Innocents,(1961),100 min,7.8,88        ,"32,141",$2.62M
709,Manhattan,(1979),96 min,7.8,83        ,"144,409",$45.70M
710,The Day the Earth Stood Still,(1951),92 min,7.8,83        ,"84,510",%^%^%^
711,Once,(I) (2007),86 min,7.8,90        ,"119,680",$9.44M
712,Hannah and Her Sisters,(1986),107 min,7.8,90        ,"74,418",$40.08M
713,Loving Vincent,(2017),94 min,7.8,62        ,"61,556",$6.74M
714,Letters from Iwo Jima,(2006),141 min,7.8,89        ,"167,746",$13.76M
715,Todo sobre mi madre,(1999),101 min,7.8,87        ,"100,857",$8.26M
716,The Killing Fields,(1984),141 min,7.8,76        ,"57,942",$34.70M
717,"Aguirre, der Zorn Gottes",(1972),95 min,7.8,****,"60,173",%^%^%^
718,Bride of Frankenstein,(1935),75 min,7.8,95        ,"51,258",$4.36M
719,Breaking the Waves,(1996),159 min,7.8,82        ,"70,084",$4.04M
720,To Have and Have Not,(1944),100 min,7.8,90        ,"37,166",%^%^%^
721,Mimi wo sumaseba,(1995),111 min,7.8,75        ,"68,619",%^%^%^
722,My Left Foot: The Story of Christy Brown,(1989),103 min,7.8,97        ,"77,965",$14.74M
723,Pride,(I) (2014),119 min,7.8,79        ,"60,404",%^%^%^
724,The Man Who Would Be King,(1975),129 min,7.8,91        ,"51,035",%^%^%^
725,Shadow of a Doubt,(1943),108 min,7.8,94        ,"68,686",%^%^%^
726,Jûbê ninpûchô,(1993),94 min,7.8,****,"39,512",%^%^%^
727,Red River,(1948),133 min,7.8,96        ,"33,232",%^%^%^
